id,type,term,sense,translation,example_de,example_en,levels,part_of_speech,native_frequency_rating,native_frequency_label,native_frequency_notes,rated_by,rated_at,corpus_rank,register,regional_labels,contexts,tags,gender,plural,genitive_singular,is_reflexive,is_separable,auxiliary,present_er_sie_es,praeteritum,partizip_ii,valency,collocations,synonyms,antonyms,false_friends,source_name,source_url,review_status
1,word,ab,starting from a point in time or location,"from, starting at",Ab morgen muss ich arbeiten.,"Starting tomorrow, I have to work.",A1,preposition,5,very high,Core temporal/spatial preposition,curator,2026-03-28,45,standard,DACH,"daily life;work","preposition;time;;",,,FALSE,FALSE,,,,,+ Dativ,"ab morgen; ab sofort; ab hier",von ... an,bis,not English 'off',,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
2,word,Abend,latter part of the day between afternoon and night,evening,Heute Abend machen wir eine Party.,Tonight we are throwing a party.,A1,noun,5,very high,Core daytime and greeting noun,curator,2026-03-28,52,standard,DACH,"time;calendar","noun;time",masculine,Abende,Abends,FALSE,FALSE,,,,,,none,"heute Abend; am Abend; guten Abend","Abendstunde; Feierabend",Morgen,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
3,word,aber,signals contrast or qualification,"but, however","Ich bin oft im Büro, aber nur für wenige Stunden.","I am often at the office, but only for a few hours.",A1,conjunction,5,very high,Core coordinating conjunction,curator,2026-03-28,12,standard,DACH,"general;communication","conjunction;connector;;",,,FALSE,FALSE,,,,,,"jedoch; allerdings",jedoch,not English 'ever',,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
4,word,abfahren,to leave or depart (vehicle),"to depart, to leave",Wir fahren um zwölf Uhr ab.,We depart at twelve o'clock.,A1,verb,4,high,Standard travel verb,curator,2026-03-28,410,standard,DACH,"travel;transport","verb;transport;;",,,FALSE,TRUE,sein,fährt ab,fuhr ab,abgefahren,intransitive,"pünktlich abfahren; mit dem Zug abfahren","abreisen; losfahren",ankommen,,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
5,word,Abfahrt,the action of departing,departure,Vor der Abfahrt rufe ich an.,"Before the departure, I will call.",A1,noun,4,high,Standard transport noun,curator,2026-03-28,620,standard,DACH,"travel;transport","noun;transport",feminine,Abfahrten,Abfahrt,FALSE,FALSE,,,,,,intransitive,"vor der Abfahrt; Abfahrt um",Abreise,Ankunft,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
6,word,Abfahrtszeit,scheduled clock time when a vehicle departs,departure time,Wann ist die Abfahrtszeit des Busses?,When is the departure time of the bus?,A1,noun,4,high,Transit travel schedule noun,curator,2026-03-28,790,standard,DACH,"travel;transport","noun;time",feminine,Abfahrtszeiten,Abfahrtszeit,FALSE,FALSE,,,,,,none,"Abfahrtszeit beachten; planmäßige Abfahrtszeit","Abfahrt; Startzeit",Ankunftszeit,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
7,word,abfliegen,to depart by airplane from a runway,"to depart (by air); to take off",Wann fliegst du ab?,When do you fly out?,A1,verb,3,medium,Aviation and travel schedule verb,curator,2026-03-28,780,standard,DACH,"travel;transport","verb;transport;;",,,FALSE,TRUE,sein,fliegt ab,flog ab,abgeflogen,intransitive,"pünktlich abfliegen; am Vormittag abfliegen",starten,"landen; ankommen",,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
8,word,Abflug,act of an aircraft leaving the ground or departing,departure (flight),Der Abflug ist um 11.20 Uhr.,The flight departure is at 11:20.,A1,noun,4,high,Airport and flight schedule noun,curator,2026-03-28,680,standard,DACH,"travel;transport","noun;transport",masculine,Abflüge,Abflugs,FALSE,FALSE,,,,,,none,"vor dem Abflug; Zeit des Abflugs","Start; Abflugzeit","Landung; Ankunft",Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
9,word,abgeben,to hand over or deliver something,"to hand in, to submit, to drop off",Ich muss meine Schlüssel abgeben.,I have to hand in my keys.,A1,verb,4,high,Everyday administrative/daily verb,curator,2026-03-28,510,standard,DACH,"daily life;administrative","verb;;",,,FALSE,TRUE,haben,gibt ab,gab ab,abgegeben,"+ Akkusativ; + Dativ","Schlüssel abgeben; Unterlagen abgeben","einreichen; aushändigen",abholen,,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
10,word,abholen,to collect or fetch someone or something,"to pick up, to collect",Wann kann ich den Schrank bei dir abholen? / Wir müssen noch meinen Bruder abholen.,When can I pick up the cupboard from your place? / We still have to pick up my brother.,A1,verb,4,high,Everyday scheduling verb,curator,2026-03-28,480,standard,DACH,"daily life;travel","verb;;",,,FALSE,TRUE,haben,holt ab,holte ab,abgeholt,+ Akkusativ,"am Bahnhof abholen; ein Paket abholen","mitnehmen; herbeiholen",bringen,,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
11,word,Absender,person sending a postal item,"sender, return address",Da ist ein Brief für dich ohne Absender.,There is a letter for you without a sender.,A1,noun,3,medium,Postal correspondence vocabulary,curator,2026-03-28,1420,standard,DACH,"mail;communication","noun;post",masculine,Absender,Absenders,FALSE,FALSE,,,,,,none,"Absender angeben; ohne Absender",Briefabsender,Empfänger,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
12,word,acht,cardinal number following seven and preceding nine,eight,Die Praxis ist ab acht Uhr geöffnet.,The practice is open from eight o'clock.,A1,numeral,5,very high,Fundamental cardinal number,curator,2026-03-28,82,standard,DACH,"numbers;general","numeral;;",,,FALSE,FALSE,,,,,,none,"acht Stunden; Schalter acht",Achtel,,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
13,word,Achtung,call for caution or alert,"attention, caution",Achtung! Das dürfen Sie nicht tun.,Attention! You must not do that.,A1,interjection,4,high,Standard warning signal,curator,2026-03-28,320,standard,DACH,"public;safety","interjection;;",,,FALSE,FALSE,,,,,,none,"Achtung geben; Achtung baby","Vorsicht; Aufpassen",,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
14,word,achtzehn,cardinal number following seventeen and preceding nineteen,eighteen,Sind Sie über achtzehn?,Are you over eighteen?,A1,numeral,4,high,Cardinal number and age of majority,curator,2026-03-28,180,standard,DACH,"numbers;general","numeral;;",,,FALSE,FALSE,,,,,,none,"achtzehn Jahre alt; um achtzehn Uhr",Achtzehntel,,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
15,word,achtzig,cardinal number equal to eight tens,eighty,Mein Großvater ist schon achtzig.,My grandfather is already eighty.,A1,numeral,4,high,Core cardinal ten-unit,curator,2026-03-28,170,standard,DACH,"numbers;general","numeral;;",,,FALSE,FALSE,,,,,,none,"achtzig Jahre alt; achtzig Prozent",Achtzigstel,,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
16,word,Adresse,details of where someone lives or an office is located,address,Können Sie mir seine Adresse sagen?,Can you tell me his address?,A1,noun,4,high,Core identity and contact term,curator,2026-03-28,390,standard,DACH,"identity;communication","noun;contact",feminine,Adressen,Adresse,FALSE,FALSE,,,,,,none,"Adresse angeben; genaue Adresse","Wohnanschrift; Anschrift",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
